legacy_id,name,title,description,material,color,care,year,main_image,image,image2,category,sub_category
"11","Cosmos","Console","The Cosmos Console embodies refined minimalism with a striking modern twist. Its natural wood frame is paired with a bold, deep blue fluted panel that adds depth and texture to the design. The open shelving provides versatile display space, while the sliding door conceals storage with elegance. A perfect blend of form and function, the Cosmos serves as an accent piece for entryways, living rooms, or dining spaces, elevating interiors with its understated sophistication.","Solid Wood Frame / Engineered Wood Panel with Fluted Finish / Smooth Sliding Mechanism","Natural Wood Frame with Deep Blue Fluted Front","Dust regularly with a soft, dry cloth. Wipe spills immediately with a damp cloth to prevent staining. Avoid harsh chemicals and abrasive cleaners. Keep away from direct sunlight and high humidity to maintain finish and structure.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799460/destrezza/migrated/ocfhriymawq7yqufywwq.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799462/destrezza/migrated/vt1utbqitalluucfmfzd.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799464/destrezza/migrated/u0haloopwa8s0phjc9x4.png","Living","Consoles"
"12","Crown","Single Seater","The Crown Single Seater blends mid-century elegance with modern comfort. Crafted with a gracefully curved wooden frame and paired with deep-cushioned seating, it offers both visual charm and lasting support. The earthy green upholstery contrasts beautifully with the warm wooden tones, while patterned cushions add a touch of personality. Perfect for living rooms, reading corners, or lounge areas, the Crown invites relaxation with a timeless aesthetic.","FSC-Certified Solid Wood Frame / High-Density Foam Cushioning / Upholstered Fabric Seat and Backrest / Removable Accent Cushions","Walnut Brown Frame with Olive Green Upholstery / Decorative Cushions in Geometric and Striped Patterns (Red, Black, and White Accents)","Vacuum fabric regularly using a soft brush attachment. Spot clean spills immediately with a damp cloth and mild detergent. Keep away from direct sunlight to prevent fading. Polish wooden frame occasionally with furniture wax for long-lasting sheen.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799467/destrezza/migrated/gfv4vwdyif0uon9v8gs2.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799468/destrezza/migrated/bjuhgif6wtuubsjdno4v.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799471/destrezza/migrated/yvznlumcjzrk2kksg0lm.png","Living","Accent | Lounge Chairs"
"13","Devora","Console","Devora stands as a statement of refined living — thoughtfully crafted to enhance interior spaces not just with functionality, but with a graceful presence that lingers in every detail. Its curved silhouette, paired with handwoven cane panels and rich wood textures, creates an atmosphere of subtle luxury. A perfect blend of form and function, Devora elevates any room with its warm elegance.","Solid Wood Frame / Natural Handwoven Cane Panels / Matte Lacquer Finish","Warm Walnut Brown with Natural Cane","Wipe with a soft dry cloth. Avoid excessive moisture on cane surfaces. Keep away from direct sunlight and high humidity to preserve natural materials. Use mild wood polish occasionally to maintain finish.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799472/destrezza/migrated/hzz8bsndrkkjqmnhjmtq.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799473/destrezza/migrated/nl3aqr2zpy62yo71v9yy.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799475/destrezza/migrated/dqvqj8nsagfxoahymmxg.jpg","Living","Consoles & Sideboards"
"14","Dravik","Center Table","The Dravik Center Table embodies sculpted precision and serene strength. Crafted from solid wood, its rhythmic fluted base forms a bold architectural statement while maintaining a minimalist silhouette. The smooth circular top rests gracefully above slender black metal legs, creating a balance between grounded stability and refined elegance. Designed as a centerpiece for living spaces, Dravik celebrates form, texture, and timeless craftsmanship.","Solid Wood Frame and Top / Fluted Wood Detailing / Powder-Coated Metal Legs / Matte Lacquer Finish","Deep Walnut Brown with Black Metal Legs","Wipe with a soft, dry cloth to remove dust. Avoid harsh cleaners or abrasives. Use coasters to prevent moisture rings and protect the wooden surface. Keep away from direct sunlight and excessive heat to maintain the finish.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799477/destrezza/migrated/odsgd4f9kdgx99q3d7aj.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799479/destrezza/migrated/zyohkkamsfb2jdmhdc4b.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799481/destrezza/migrated/xrz7udkduadh48smddkm.jpg","Living","Coffee Tables"
"15","Elaris","Single Seater","Elaris is a sanctuary of comfort crafted with refined elegance. Designed with smooth, flowing curves and a gracefully balanced rocking frame, it offers a soothing rhythm that invites relaxation. The natural cane backrest paired with a plush seat brings a blend of sophistication and warmth, making it not just a chair, but an immersive experience of living art.","Solid Wood Frame / Natural Handwoven Cane Backrest / Upholstered Fabric Seat / Matte Lacquer Finish","Walnut Brown Frame with Natural Cane and Grey Upholstery","Dust regularly with a soft cloth. Avoid prolonged moisture exposure on cane. Wipe gently with a slightly damp cloth when needed. Keep away from direct sunlight to preserve finish and fabric color.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799482/destrezza/migrated/ixkdza581pqvb620su1i.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799484/destrezza/migrated/zc2sqncx9mrczwf8wj8g.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799485/destrezza/migrated/itrnsvtvklytuouffunv.jpg","Living","Accent | Lounge Chairs"
"16","Elstra","Axen Chair & Foot Stool","The Elstra Axen Chair & Foot Stool redefines minimal relaxation through a sculptural blend of form and balance. Crafted from smooth solid wood and woven natural cane, its upward lines and curved silhouette evoke calm sophistication. Designed for posture and comfort, the extended reclined back pairs harmoniously with the matching foot stool, making Elstra an ideal statement piece for contemporary living rooms, reading corners, or lounge spaces.","FSC-Certified Solid Wood Frame / Natural Rattan Cane Seat and Backrest / Matte Water-Based Lacquer Finish","Natural Oak Wood with Light Rattan Weave","Dust regularly with a soft, dry cloth. Avoid direct sunlight, moisture, and harsh cleaners. Protect rattan surfaces from heavy pressure to maintain weave integrity. Tighten joints periodically every 6–8 months.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799486/destrezza/migrated/fwu3su64swuby6hoqtwc.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799488/destrezza/migrated/eabuevepfu65rtpolx0o.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799491/destrezza/migrated/cftlm36gy8ofypywuebn.jpg","Living","Loungers"
"17","Flummox","King Bed","The Flummox King Bed is a modern sanctuary of comfort and sophistication. Featuring a sleek upholstered frame with a tall cushioned headboard, it creates a refined centerpiece for any bedroom. The clean lines and neutral tones exude calmness, while the spacious design ensures restful sleep. Paired with vibrant accent bedding, the Flummox adapts seamlessly to contemporary or classic interiors, balancing functionality with style.","Solid Wood Frame with Upholstered Panels / High-Density Foam Padding / Premium Fabric Upholstery / Optional Storage Base","Soft Taupe Upholstered Frame with Neutral Undertones / Customizable Bedding Options","Vacuum upholstery regularly using a soft brush attachment. Spot clean stains immediately with a damp cloth and mild fabric cleaner. Rotate mattress regularly for longevity. Avoid exposure to direct sunlight and high humidity to preserve the fabric and structure.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799493/destrezza/migrated/omf1gxmcs0ggmunfbe9o.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799495/destrezza/migrated/fc32irotyipiz3zwiwhs.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799497/destrezza/migrated/pqzs3ptsvwzb2ofsdjue.png","Bedroom","Beds"
"18","Flurea","Single Seater","The Flurea Single Seater celebrates gentle curves and crafted comfort. Inspired by the natural unfolding of petals, its sculpted silhouette and soft form invite both beauty and ease. The soothing cream hue is complemented by a bold accent cushion, blending elegance with personality. Designed for modern interiors, Flurea strikes the perfect balance between cozy relaxation and refined artistry.","Solid Wood Internal Frame / Premium Upholstered Fabric / High-Density Foam Cushioning / Metal Legs with Matte Gold Finish","Soft Cream Upholstery with Burnt Red Accent Cushion / Matte Gold Legs","Vacuum regularly with a soft brush attachment. Blot spills immediately using a clean, dry cloth. Use mild upholstery cleaner for stains after testing on a hidden area. Avoid direct sunlight and moisture to preserve fabric tone and texture.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799499/destrezza/migrated/vrbaxcun0ofx8hmhvsdl.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799501/destrezza/migrated/wchcjwyopeyqgu7nuceg.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799503/destrezza/migrated/qnq3uqvtceg6rtiqotn3.jpg","Living","Accent | Lounge Chairs"
"19","Heaven","Sofa Family","The Heaven Sofa Family is a modern blend of simplicity and luxury. Featuring smooth rounded edges with plush white upholstery, it offers a clean and elegant aesthetic for contemporary living spaces. The solid wooden side accents add warmth and grounding to the minimalist look, while patterned throw pillows introduce a pop of earthy tones. Paired with a sleek wooden and metal coffee table, this set brings both comfort and sophistication to any home.","Solid Wood Accents / High-Density Foam Cushioning / Premium Upholstered Fabric / Metal Coffee Table Base","White Upholstery with Wooden Side Accents / Earth-Tone Patterned Cushions / Dark Brown and Black Coffee Table","Vacuum upholstery regularly with a soft brush attachment. Blot spills immediately with a clean, dry cloth. For stains, use a mild fabric cleaner and spot test before applying. Wipe wood and metal surfaces with a dry or slightly damp cloth. Keep away from direct sunlight and moisture to prevent fading or warping.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799505/destrezza/migrated/wjx9d1t5kxbsvxp82kuw.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799507/destrezza/migrated/eli5knd8z3hf6ogt6mxe.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799508/destrezza/migrated/quyt3cot8mmcpoulh9i8.png","Living","Sofas & Sectionals"
"20","Heaven","Chair","The Heaven Chair is a plush and inviting single-seater designed for maximum comfort with a modern aesthetic. Its soft white upholstery and generously cushioned seat create a cozy retreat, while the rounded armrests and solid wooden side accents add an elegant contemporary touch. Ideal as a standalone lounge chair or as part of the Heaven Sofa Family, it brings warmth, style, and sophistication to any living space.","Solid Wood Accents / High-Density Foam Cushioning / Premium Upholstered Fabric","White Upholstery with Natural Wooden Side Accents","Vacuum upholstery regularly with a soft brush. Blot spills immediately with a clean, dry cloth. For stains, use a mild upholstery cleaner and spot test before applying. Wipe wooden accents with a dry or slightly damp cloth. Keep away from direct sunlight and excessive moisture to prevent fading and warping.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799511/destrezza/migrated/ibi9lxvux4hapaug4kwt.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799513/destrezza/migrated/ixqetjwxvrnj5woz7hhq.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799515/destrezza/migrated/efk0db07xhebuyuopcy7.png","Living","Chairs & Loveseats"
"21","Helm","Chair","The Helm Chair embodies a balance of timeless craftsmanship and modern design. Its rounded rattan backrest and upholstered seat bring together natural textures with contemporary comfort. Perfect for dining, reading, or a creative corner, the chair offers both function and aesthetic elegance—crafted to elevate everyday living with subtle sophistication.","FSC-Certified Solid Oakwood / Natural Rattan Cane Backrest / Upholstered Fabric Seat / Matte Water-Based Lacquer Finish","Natural Wood (Warm Oak) with Blue Upholstery and Subtle Red Piping","Wipe with a soft damp cloth. Avoid prolonged direct sunlight, moisture, or abrasive cleaners. Use seat cushions or mats to maintain upholstery. Periodically check and tighten joints every 6–8 months.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799517/destrezza/migrated/xxxywlnsy4ufzoameftz.png","/static/products/Wrk_Helm2.png","/static/products/Wrk_Helm3.png","Living","Chairs & Loveseats"
"22","Ismara","Bed Cot","A contemporary sanctuary, Ismara blends sleek design with lasting comfort. Its minimal yet expressive structure creates a centerpiece of modern living. With clean lines, a soft upholstered headboard, and harmonious proportions, Ismara transforms the bedroom into a calming escape that feels luxurious yet effortlessly refined.","Upholstered Headboard / Solid Wood Frame / High-Density Support Base / Matte Finish","Warm Grey Upholstery with Walnut-Toned Frame","Vacuum fabric surfaces regularly. Clean spills immediately using a mild fabric-safe cleaner. Avoid placing the bed in direct sunlight to prevent discoloration. Dust wooden components with a soft cloth.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799596/destrezza/migrated/r87f5yfrrs8ffp6mlclw.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799599/destrezza/migrated/q9742dk8iiycezkixjka.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799603/destrezza/migrated/stxhf8y8eszfdydczaju.jpg","Bedroom","Bed Cot"
"23","Kaelix","Single Seater","The Kaelix Single Seater embodies bold modern artistry with a serene balance of form and comfort. Its sculpted curves flow effortlessly around the body, while the textured upholstery adds visual depth and tactile luxury. Supported by a matte black wooden frame, Kaelix redefines minimal design through confident structure and inviting presence — making it an ideal statement for refined modern interiors.","Solid Wood Frame with Matte Black Finish / Premium Textured Upholstery / High-Density Foam Cushioning / Smooth Curved Backrest","Muted Sage Green Upholstery with Matte Black Wooden Frame","Vacuum regularly with a soft brush attachment. Blot stains immediately with a dry cloth. Use mild upholstery cleaner when needed. Avoid placing in direct sunlight or near heat sources to preserve color and texture.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799605/destrezza/migrated/wkxyxetdn8n86aat9oxs.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799607/destrezza/migrated/v3kkaxyluepc5qa5dcie.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799609/destrezza/migrated/npdj4pyg9rhtm9qskqzf.jpg","Living","Accent | Lounge Chairs"
"24","KIzuki","Study table and chair","Rooted in calm, functional elegance, the Kizuki Study Table & Chair set is a nod to mindful living and purposeful work. Inspired by Japanese simplicity and crafted with natural materials, it creates a serene workspace where clarity, creativity, and comfort coexist.Whether it’s for a home office, creative nook, or reading corner, this set offers a peaceful no clutter, no distractions. Just you and your thoughts.","FSC-Certified Solid Oakwood / Natural Rattan Cane / Matte Water-Based Lacquer Finish / Powder-Coated Steel or Brass Connectors (Hidden Joints)","Natural Wood (Warm Oak)Optional finish: Soft Charcoal Stain or Light Ash","Wipe With Soft Damp Cloth Only. Avoid Direct Sunlight, Excess Moisture, Or Abrasive Cleaners. Use Coasters and Mats to Prevent Surface Marks. Periodically Check and Tighten Joints Every 6–8 Months.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799613/destrezza/migrated/sbenx7clx2wbcj1qlh1d.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799618/destrezza/migrated/pixw5jsmjmdzww49wbz2.png","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799627/destrezza/migrated/vaji3ksrvdysasvpya1x.png","Home Office","Writing Desk"
"25","Liora","Night Stand","A refined blend of function and elegance, Liora keeps essentials close while adding a quiet charm to your bedroom. Its flowing rounded edges, solid wood body, and handcrafted cane drawer front create a warm and timeless aesthetic. Liora brings both utility and beauty together, making it a graceful companion to any modern bedroom setting.","Solid Wood Structure / Handwoven Natural Cane Drawer Front / Matte Lacquer Finish / Metal Glide Drawer System","Deep Walnut Brown with Natural Cane","Dust regularly with a dry soft cloth. Avoid moisture contact with cane. Wipe gently with a damp cloth when needed. Keep away from direct sunlight to maintain wood color and cane durability.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799631/destrezza/migrated/iqoadaaxlccw32zit6p6.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799636/destrezza/migrated/lsvcwtj8jz0n5s19kotx.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799639/destrezza/migrated/axqipmtzer5qzwgwj2na.jpg","Bedroom","Night Stand"
"26","Luresta","Bed Cot","With its soft lines, refined structure, and thoughtfully balanced proportions, Luresta turns your bedroom into a place of quiet luxury. The warm wooden finish, paired with upholstered accents, creates a comforting, contemporary presence. Designed for those who believe rest should be as beautiful as it is serene, Luresta offers a timeless blend of style and tranquility.","Solid Wood Frame / Upholstered Headboard Panels / Premium Mattress Support Base / Matte Lacquer Finish","Walnut Brown Frame with Mocha Upholstered Headboard","Dust wooden surfaces regularly. Clean upholstery with a mild fabric-safe cleanser. Keep away from direct sunlight to prevent fading. Wipe gently with a damp cloth when needed.","2024 Collection","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799642/destrezza/migrated/besise9j94uxitqmgxxk.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799647/destrezza/migrated/skeli2nj9kirieztqwph.jpg","https://res.cloudinary.com/dubgo0vue/image/upload/v1776799652/destrezza/migrated/ug2h0fa6o0snut58rt4z.jpg","Bedroom","Bed Cot"
